City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Butaritari,KI,2021-04-06 16:50:31,3.0707,172.7902,80.37,74,100,9.42
59,Mataura,NZ,2021-04-06 16:50:31,-46.1927,168.8643,54.0,89,98,8.01
60,Hithadhoo,MV,2021-04-06 16:50:32,-0.6,73.0833,83.55,64,49,9.15
61,Dunedin,NZ,2021-04-06 16:50:32,-45.8742,170.5036,54.0,80,59,3.0
62,Arraial Do Cabo,BR,2021-04-06 16:50:32,-22.9661,-42.0278,80.6,65,40,11.5
63,The Valley,AI,2021-04-06 16:50:33,18.217,-63.0578,87.8,74,20,11.5
64,Thunder Bay,CA,2021-04-06 16:50:33,48.4001,-89.3168,55.4,62,40,6.91
65,Puerto Ayora,EC,2021-04-06 16:50:34,-0.7393,-90.3518,80.6,83,40,10.36
66,Honiara,SB,2021-04-06 16:50:34,-9.4333,159.95,77.49,90,100,4.52
67,Albany,US,2021-04-06 16:50:35,42.6001,-73.9662,59.0,23,1,7.0
68,Fortuna,US,2021-04-06 16:50:35,40.5982,-124.1573,50.0,87,1,3.0
69,Atar,MR,2021-04-06 16:50:36,20.5169,-13.0499,98.85,9,4,11.41
70,Kolobrzeg,PL,2021-04-06 16:50:36,54.1757,15.5834,39.99,64,64,14.72
71,Guadalupe Y Calvo,MX,2021-04-06 16:50:36,26.1,-106.9667,70.2,16,2,6.96
72,Fort Nelson,CA,2021-04-06 16:50:37,58.8053,-122.7002,26.6,74,90,4.61
73,Avarua,CK,2021-04-06 16:50:37,-21.2078,-159.775,78.8,78,90,16.11
74,Ucluelet,CA,2021-04-06 16:49:59,48.9329,-125.5528,45.0,93,90,2.3
75,Olden,NO,2021-04-06 16:50:38,61.8364,6.8064,35.6,93,75,6.91
76,San Patricio,US,2021-04-06 16:50:38,28.017,-97.5169,80.01,78,75,24.16
77,Portland,US,2021-04-06 16:46:26,45.5234,-122.6762,46.99,70,20,5.75
78,Vardo,NO,2021-04-06 16:50:39,70.3705,31.1107,35.6,69,40,18.41
